#    L    TT             EE             BB             TE             PP             TP             EP          
   179   0.525648E+04   0.771272E+00   0.000000E+00  -0.344673E+02   0.358897E-07   0.554193E-03  -0.622996E-06
   180   0.527669E+04   0.761151E+00   0.000000E+00  -0.337373E+02   0.357064E-07   0.548774E-03  -0.613241E-06
   181   0.529641E+04   0.751189E+00   0.000000E+00  -0.329816E+02   0.355246E-07   0.543442E-03  -0.602804E-06
   182   0.531572E+04   0.741460E+00   0.000000E+00  -0.321989E+02   0.353445E-07   0.538196E-03  -0.591725E-06
   183   0.533455E+04   0.731887E+00   0.000000E+00  -0.313905E+02   0.351660E-07   0.533033E-03  -0.580041E-06
   184   0.535304E+04   0.722546E+00   0.000000E+00  -0.305557E+02   0.349891E-07   0.527952E-03  -0.567794E-06
   185   0.537112E+04   0.713582E+00   0.000000E+00  -0.296969E+02   0.348138E-07   0.522950E-03  -0.555022E-06
   186   0.538842E+04   0.704856E+00   0.000000E+00  -0.288109E+02   0.346400E-07   0.518026E-03  -0.541763E-06
   187   0.540560E+04   0.696506E+00   0.000000E+00  -0.278994E+02   0.344678E-07   0.513177E-03  -0.528058E-06
   188   0.542230E+04   0.688518E+00   0.000000E+00  -0.269637E+02   0.342971E-07   0.508401E-03  -0.513945E-06
   189   0.543844E+04   0.680927E+00   0.000000E+00  -0.260024E+02   0.341281E-07   0.503696E-03  -0.499464E-06
   190   0.545446E+04   0.673785E+00   0.000000E+00  -0.250178E+02   0.339605E-07   0.499060E-03  -0.484654E-06
   191   0.546963E+04   0.667114E+00   0.000000E+00  -0.240069E+02   0.337945E-07   0.494491E-03  -0.469553E-06
   192   0.548446E+04   0.660934E+00   0.000000E+00  -0.229719E+02   0.336300E-07   0.489987E-03  -0.454202E-06
   193   0.549873E+04   0.655290E+00   0.000000E+00  -0.219143E+02   0.334670E-07   0.485546E-03  -0.438638E-06
   194   0.551266E+04   0.650210E+00   0.000000E+00  -0.208319E+02   0.333055E-07   0.481166E-03  -0.422903E-06
   195   0.552603E+04   0.645732E+00   0.000000E+00  -0.197269E+02   0.331456E-07   0.476845E-03  -0.407033E-06
   196   0.553884E+04   0.641890E+00   0.000000E+00  -0.185985E+02   0.329871E-07   0.472580E-03  -0.391069E-06
   197   0.555124E+04   0.638730E+00   0.000000E+00  -0.174484E+02   0.328301E-07   0.468370E-03  -0.375050E-06
