#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c        ISW            log_grow       pert_vel    
   0.419923E-02   0.117598E+08   0.117547E+08  -0.267413E+04   0.407630E+05   0.902954E+07   0.117460E+08   0.117589E+08   0.117460E+08  -0.203342E+00   0.380255E+07   0.380201E+07   0.430259E+02   0.506734E+01   0.327716E+00  -0.905548E+11
   0.463671E-02   0.115650E+08   0.115595E+08  -0.608485E+04   0.328796E+05   0.860378E+07   0.115500E+08   0.115640E+08   0.115500E+08  -0.199949E+00   0.374264E+07   0.374210E+07   0.385198E+02   0.408990E+01   0.327208E+00  -0.807186E+11
   0.511978E-02   0.113631E+08   0.113571E+08  -0.870267E+04   0.264968E+05   0.817042E+07   0.113470E+08   0.113621E+08   0.113470E+08  -0.196434E+00   0.367975E+07   0.367922E+07   0.346863E+02   0.329758E+01   0.326787E+00  -0.718742E+11
   0.565317E-02   0.111525E+08   0.111458E+08  -0.622242E+04   0.213295E+05   0.770868E+07   0.111351E+08   0.111513E+08   0.111351E+08  -0.192765E+00   0.361342E+07   0.361289E+07   0.312205E+02   0.265550E+01   0.326434E+00  -0.639193E+11
   0.624213E-02   0.109304E+08   0.109230E+08  -0.589260E+04   0.171458E+05   0.724564E+07   0.109117E+08   0.109291E+08   0.109117E+08  -0.188899E+00   0.354292E+07   0.354239E+07   0.280257E+02   0.213525E+01   0.326139E+00  -0.567588E+11
   0.689245E-02   0.106954E+08   0.106872E+08  -0.373133E+04   0.137604E+05   0.677085E+07   0.106755E+08   0.106940E+08   0.106755E+08  -0.184809E+00   0.346784E+07   0.346731E+07   0.252325E+02   0.171402E+01   0.325891E+00  -0.503141E+11
   0.761052E-02   0.104459E+08   0.104366E+08  -0.378669E+04   0.110228E+05   0.629252E+07   0.104247E+08   0.104444E+08   0.104247E+08  -0.180468E+00   0.338773E+07   0.338721E+07   0.227920E+02   0.137322E+01   0.325682E+00  -0.445143E+11
   0.840340E-02   0.101804E+08   0.101699E+08  -0.428260E+04   0.881085E+04   0.581863E+07   0.101580E+08   0.101787E+08   0.101580E+08  -0.175851E+00   0.330218E+07   0.330166E+07   0.205875E+02   0.109777E+01   0.325505E+00  -0.392961E+11
   0.927889E-02   0.989764E+07   0.988557E+07  -0.277114E+04   0.702567E+04   0.534807E+07   0.987409E+07   0.989561E+07   0.987409E+07  -0.170936E+00   0.321080E+07   0.321028E+07   0.186450E+02   0.875406E+00   0.325354E+00  -0.346036E+11
   0.102456E-01   0.959632E+07   0.958249E+07  -0.261621E+04   0.558680E+04   0.487974E+07   0.957169E+07   0.959400E+07   0.957169E+07  -0.165701E+00   0.311325E+07   0.311273E+07   0.169262E+02   0.696143E+00   0.325225E+00  -0.303865E+11
