#    L    TT             EE             BB             TE          
   203   0.557543E+04   0.648403E+00   0.835789E-02  -0.999392E+01
   204   0.558450E+04   0.651161E+00   0.844807E-02  -0.869868E+01
   205   0.559308E+04   0.654877E+00   0.853864E-02  -0.738319E+01
   206   0.560101E+04   0.659587E+00   0.862959E-02  -0.604870E+01
   207   0.560844E+04   0.665313E+00   0.872091E-02  -0.469564E+01
   208   0.561514E+04   0.672105E+00   0.881260E-02  -0.332453E+01
   209   0.562128E+04   0.679985E+00   0.890465E-02  -0.193572E+01
   210   0.562683E+04   0.689003E+00   0.899705E-02  -0.530104E+00
   211   0.563182E+04   0.699189E+00   0.908979E-02   0.892280E+00
   212   0.563608E+04   0.710571E+00   0.918286E-02   0.233050E+01
   213   0.563984E+04   0.723192E+00   0.927625E-02   0.378462E+01
   214   0.564295E+04   0.737044E+00   0.936996E-02   0.525343E+01
   215   0.564548E+04   0.752320E+00   0.946397E-02   0.673621E+01
   216   0.564736E+04   0.768831E+00   0.955828E-02   0.823350E+01
   217   0.564875E+04   0.786734E+00   0.965288E-02   0.974328E+01
   218   0.564948E+04   0.806026E+00   0.974775E-02   0.112658E+02
   219   0.564963E+04   0.826707E+00   0.984289E-02   0.128020E+02
   220   0.564921E+04   0.848925E+00   0.993829E-02   0.143475E+02
   221   0.564821E+04   0.872604E+00   0.100339E-01   0.159045E+02
   222   0.564663E+04   0.897891E+00   0.101298E-01   0.174716E+02
   223   0.564432E+04   0.924711E+00   0.102259E-01   0.190494E+02
   224   0.564159E+04   0.953063E+00   0.103223E-01   0.206343E+02
   225   0.563820E+04   0.983094E+00   0.104188E-01   0.222293E+02
   226   0.563423E+04   0.101480E+01   0.105155E-01   0.238306E+02
   227   0.562961E+04   0.104819E+01   0.106125E-01   0.254398E+02
   228   0.562449E+04   0.108325E+01   0.107095E-01   0.270554E+02
   229   0.561878E+04   0.112006E+01   0.108068E-01   0.286759E+02
   230   0.561243E+04   0.115862E+01   0.109042E-01   0.303021E+02
   231   0.560541E+04   0.119900E+01   0.110018E-01   0.319332E+02
   232   0.559789E+04   0.124113E+01   0.110994E-01   0.335677E+02
   233   0.558979E+04   0.128522E+01   0.111972E-01   0.352043E+02
   234   0.558096E+04   0.133113E+01   0.112951E-01   0.368436E+02
   235   0.557162E+04   0.137893E+01   0.113931E-01   0.384842E+02
   236   0.556163E+04   0.142862E+01   0.114912E-01   0.401260E+02
   237   0.555105E+04   0.148027E+01   0.115893E-01   0.417677E+02
   238   0.553990E+04   0.153396E+01   0.116875E-01   0.434092E+02
   239   0.552823E+04   0.158954E+01   0.117858E-01   0.450497E+02
   240   0.551583E+04   0.164707E+01   0.118841E-01   0.466872E+02
   241   0.550300E+04   0.170671E+01   0.119824E-01   0.483223E+02
   242   0.548958E+04   0.176831E+01   0.120807E-01   0.499543E+02
   243   0.547558E+04   0.183201E+01   0.121790E-01   0.515817E+02
   244   0.546099E+04   0.189773E+01   0.122773E-01   0.532053E+02
   245   0.544582E+04   0.196556E+01   0.123755E-01   0.548221E+02
   246   0.543014E+04   0.203550E+01   0.124738E-01   0.564337E+02
   247   0.541395E+04   0.210745E+01   0.125719E-01   0.580378E+02
   248   0.539717E+04   0.218180E+01   0.126700E-01   0.596344E+02
   249   0.537996E+04   0.225802E+01   0.127681E-01   0.612228E+02
   250   0.536216E+04   0.233657E+01   0.128660E-01   0.628015E+02
   251   0.534392E+04   0.241713E+01   0.129639E-01   0.643713E+02
   252   0.532502E+04   0.249994E+01   0.130616E-01   0.659308E+02
   253   0.530583E+04   0.258476E+01   0.131592E-01   0.674783E+02
   254   0.528606E+04   0.267191E+01   0.132567E-01   0.690141E+02
   255   0.526577E+04   0.276107E+01   0.133540E-01   0.705379E+02
   256   0.524504E+04   0.285263E+01   0.134512E-01   0.720500E+02
   257   0.522388E+04   0.294614E+01   0.135481E-01   0.735421E+02
   258   0.520220E+04   0.304197E+01   0.136450E-01   0.750269E+02
   259   0.518009E+04   0.313997E+01   0.137416E-01   0.764895E+02
   260   0.515761E+04   0.324013E+01   0.138380E-01   0.779448E+02
   261   0.513462E+04   0.334240E+01   0.139342E-01   0.793705E+02
   262   0.511112E+04   0.344699E+01   0.140302E-01   0.807890E+02
   263   0.508748E+04   0.355367E+01   0.141260E-01   0.821927E+02
   264   0.506325E+04   0.366253E+01   0.142215E-01   0.835744E+02
   265   0.503851E+04   0.377349E+01   0.143168E-01   0.849266E+02
